record; height; mass; shoulders width; lung capacity; muscle to fat ratio 
no; 1.82; 77; 42.00; 5.92; 0.17 
no; 1.78; 72; 39.00; 5.92; 0.19 
no; 1.87; 76; 43.00; 5.83; 0.16 
no; 1.89; 78; 45.00; 5.95; 0.17 
no; 1.84; 76; 39.00; 5.76; 0.14 
no; 1.87; 79; 41.00; 6.06; 0.16 
no; 1.85; 77; 40.00; 6.03; 0.19 
no; 1.78; 74; 40.00; 5.76; 0.18 
no; 1.75; 80; 44.00; 5.96; 0.15 
no; 1.9; 75; 45.00; 6.00; 0.15 
no; 1.81; 73; 41.00; 5.92; 0.17 
no; 1.79; 74; 45.00; 6.00; 0.15 
no; 1.85; 74; 46.00; 6.01; 0.17 
no; 1.76; 80; 45.00; 5.71; 0.14 
no; 1.77; 74; 42.00; 5.82; 0.17 
no; 1.8; 78; 43.00; 5.99; 0.20 
no; 1.88; 75; 43.00; 6.03; 0.18 
no; 1.9; 74; 42.00; 5.71; 0.15 
yes; 1.88; 78; 48.00; 6.19; 0.19 
no; 1.75; 75; 42.00; 5.94; 0.18 
no; 1.89; 79; 42.00; 5.82; 0.18 
no; 1.84; 77; 42.00; 6.00; 0.18 
no; 1.81; 77; 46.00; 5.77; 0.16 
no; 1.87; 75; 41.00; 5.95; 0.18 
no; 1.89; 76; 46.00; 6.01; 0.15 
no; 1.75; 76; 40.00; 5.74; 0.19 
no; 1.75; 79; 39.00; 5.86; 0.16 
no; 1.9; 77; 42.00; 5.78; 0.18 
no; 1.85; 78; 43.00; 5.78; 0.19 
no; 1.79; 72; 41.00; 5.91; 0.18 
no; 1.87; 75; 44.00; 5.78; 0.19 
no; 1.83; 75; 39.00; 5.87; 0.17 
no; 1.89; 73; 39.00; 6.00; 0.15 
no; 1.75; 75; 41.00; 5.86; 0.15 
no; 1.82; 80; 43.00; 5.99; 0.18 
no; 1.85; 75; 42.00; 5.72; 0.19 
no; 1.87; 75; 41.00; 5.90; 0.15 
yes; 1.88; 77; 47.00; 6.25; 0.19 
no; 1.9; 72; 42.00; 5.71; 0.14 
no; 1.75; 80; 45.00; 5.99; 0.15 
no; 1.8; 75; 42.00; 5.80; 0.15 
no; 1.75; 74; 40.00; 6.05; 0.20 
no; 1.89; 79; 39.00; 5.74; 0.17 
no; 1.9; 80; 45.00; 5.85; 0.18 
no; 1.79; 78; 43.00; 5.99; 0.16 
no; 1.82; 78; 45.00; 5.95; 0.17 
no; 1.87; 80; 39.00; 5.79; 0.18 
no; 1.88; 76; 40.00; 5.90; 0.17 
no; 1.76; 78; 45.00; 6.01; 0.17 
no; 1.86; 76; 40.00; 5.77; 0.18 
no; 1.85; 76; 40.00; 5.97; 0.15 
no; 1.83; 80; 41.00; 5.80; 0.17 
no; 1.87; 77; 43.00; 5.84; 0.18 
no; 1.84; 75; 40.00; 5.73; 0.16 
no; 1.81; 72; 39.00; 5.96; 0.19 
no; 1.9; 80; 39.00; 6.06; 0.16 
yes; 1.89; 77; 48.00; 5.95; 0.17 
no; 1.82; 75; 41.00; 5.80; 0.15 
no; 1.77; 77; 46.00; 5.77; 0.17 
no; 1.78; 72; 43.00; 5.71; 0.14 
no; 1.84; 77; 39.00; 6.09; 0.20 
no; 1.86; 75; 42.00; 5.85; 0.18 
no; 1.89; 72; 42.00; 5.80; 0.15 
no; 1.9; 77; 45.00; 5.78; 0.17 
no; 1.87; 79; 46.00; 5.72; 0.16 
no; 1.77; 80; 45.00; 5.86; 0.15 
no; 1.81; 73; 40.00; 5.95; 0.15 
no; 1.89; 80; 45.00; 5.80; 0.15 
no; 1.78; 72; 44.00; 5.98; 0.19 
no; 1.76; 75; 42.00; 5.77; 0.18 
no; 1.81; 72; 40.00; 6.07; 0.15 
no; 1.9; 73; 43.00; 6.04; 0.17 
no; 1.76; 72; 40.00; 5.74; 0.15 
no; 1.83; 78; 45.00; 5.80; 0.18 
no; 1.89; 79; 40.00; 5.98; 0.20 
no; 1.8; 79; 45.00; 5.99; 0.16 
no; 1.83; 75; 42.00; 5.88; 0.14 
no; 1.77; 73; 45.00; 5.94; 0.16 
no; 1.87; 79; 45.00; 5.77; 0.19 
no; 1.78; 76; 39.00; 6.01; 0.20 
no; 1.78; 79; 41.00; 6.00; 0.18 
no; 1.86; 77; 40.00; 5.86; 0.17 
yes; 1.91; 78; 48.00; 5.95; 0.16 
no; 1.85; 74; 41.00; 5.75; 0.18 
no; 1.89; 78; 44.00; 5.83; 0.16 
no; 1.82; 76; 43.00; 5.74; 0.16 
no; 1.9; 74; 43.00; 6.06; 0.16 
no; 1.77; 79; 41.00; 5.92; 0.14 
no; 1.82; 76; 44.00; 6.06; 0.14 
no; 1.82; 76; 43.00; 5.98; 0.18 
no; 1.86; 80; 41.00; 6.03; 0.17 
no; 1.76; 80; 39.00; 5.77; 0.18 
no; 1.78; 74; 41.00; 5.90; 0.18 
no; 1.9; 78; 44.00; 5.73; 0.19 
no; 1.83; 73; 39.00; 6.09; 0.17 
no; 1.76; 73; 44.00; 5.98; 0.15 
no; 1.8; 76; 46.00; 5.81; 0.19 
no; 1.85; 75; 46.00; 5.73; 0.14 
no; 1.75; 79; 46.00; 5.82; 0.14 
no; 1.84; 73; 40.00; 6.06; 0.19 
no; 1.84; 73; 42.00; 5.92; 0.16 
no; 1.81; 74; 42.00; 5.75; 0.15 
yes; 1.92; 81; 49.00; 6.02; 0.16 
no; 1.81; 72; 44.00; 5.79; 0.18 
no; 1.78; 73; 41.00; 5.93; 0.16 
no; 1.76; 72; 39.00; 6.00; 0.18 
no; 1.83; 79; 42.00; 5.92; 0.18 
no; 1.81; 76; 39.00; 6.07; 0.19 
no; 1.85; 80; 39.00; 5.82; 0.15 
yes; 1.92; 79; 49.00; 6.16; 0.16 
no; 1.89; 75; 46.00; 6.02; 0.16 
no; 1.81; 73; 43.00; 5.98; 0.16 
no; 1.87; 79; 46.00; 6.08; 0.19 
no; 1.78; 78; 42.00; 5.85; 0.14 
no; 1.76; 78; 45.00; 6.00; 0.19 
yes; 1.86; 81; 43.00; 6.10; 0.19 
no; 1.84; 77; 45.00; 6.04; 0.19 
no; 1.83; 73; 45.00; 5.76; 0.20 
no; 1.85; 73; 43.00; 6.07; 0.18 
no; 1.87; 72; 45.00; 5.80; 0.15 
no; 1.75; 79; 44.00; 6.08; 0.15 
no; 1.8; 74; 40.00; 6.01; 0.18 
yes; 1.87; 76; 48.00; 6.08; 0.16 
yes; 1.9; 81; 42.00; 6.00; 0.13 
no; 1.75; 79; 45.00; 5.92; 0.14 
no; 1.9; 80; 45.00; 5.83; 0.19 
no; 1.8; 79; 45.00; 5.77; 0.19 
no; 1.75; 72; 39.00; 5.76; 0.19 
no; 1.75; 79; 41.00; 5.75; 0.19 
no; 1.83; 78; 42.00; 5.97; 0.17 
no; 1.88; 79; 44.00; 6.00; 0.14 
no; 1.88; 79; 42.00; 5.77; 0.18 
no; 1.9; 74; 39.00; 5.82; 0.16 
yes; 1.93; 73; 45.00; 6.06; 0.17 
no; 1.85; 78; 39.00; 6.08; 0.18 
no; 1.9; 77; 40.00; 5.72; 0.17 
no; 1.87; 74; 46.00; 5.71; 0.15 
no; 1.83; 74; 42.00; 5.87; 0.14 
no; 1.86; 72; 39.00; 5.84; 0.19 
no; 1.89; 76; 45.00; 6.10; 0.15 
no; 1.89; 79; 45.00; 5.77; 0.17 
no; 1.79; 75; 44.00; 5.97; 0.18 
no; 1.86; 77; 41.00; 5.73; 0.18 
no; 1.83; 72; 40.00; 5.84; 0.14 
no; 1.78; 77; 45.00; 5.86; 0.19 
no; 1.83; 80; 45.00; 5.82; 0.18 
no; 1.81; 73; 40.00; 5.75; 0.19 
no; 1.89; 78; 42.00; 5.74; 0.18 
no; 1.82; 73; 39.00; 5.96; 0.18 
no; 1.77; 80; 40.00; 6.01; 0.16 
no; 1.85; 72; 39.00; 5.83; 0.18 
no; 1.77; 72; 46.00; 5.86; 0.16 
no; 1.89; 72; 43.00; 5.83; 0.16 
no; 1.87; 78; 40.00; 5.78; 0.19 
no; 1.9; 75; 45.00; 5.78; 0.17 
no; 1.85; 80; 39.00; 5.77; 0.19 
no; 1.75; 79; 46.00; 5.87; 0.19 
no; 1.83; 76; 40.00; 5.77; 0.19 
no; 1.87; 75; 42.00; 6.07; 0.19 
no; 1.89; 80; 45.00; 5.89; 0.15 
no; 1.75; 77; 44.00; 6.08; 0.16 
no; 1.86; 74; 44.00; 5.85; 0.19 
no; 1.76; 75; 40.00; 6.10; 0.17 
no; 1.82; 80; 46.00; 5.97; 0.17 
no; 1.85; 75; 43.00; 5.82; 0.20 
no; 1.87; 76; 43.00; 6.08; 0.19 
yes; 1.87; 75; 48.00; 6.04; 0.18 
no; 1.81; 77; 45.00; 5.82; 0.18 
no; 1.87; 79; 41.00; 5.82; 0.18 
yes; 1.88; 79; 50.00; 6.16; 0.17 
no; 1.8; 73; 39.00; 5.94; 0.16 
no; 1.78; 80; 42.00; 6.04; 0.18 
no; 1.9; 79; 44.00; 6.07; 0.19 
no; 1.79; 79; 41.00; 5.92; 0.16 
no; 1.78; 78; 43.00; 5.94; 0.15 
no; 1.78; 77; 43.00; 5.72; 0.17 
no; 1.85; 75; 42.00; 5.74; 0.15 
no; 1.83; 72; 39.00; 5.98; 0.20 
no; 1.83; 73; 40.00; 5.86; 0.18 
no; 1.79; 74; 40.00; 5.87; 0.17 
no; 1.75; 75; 43.00; 5.77; 0.17 
no; 1.85; 77; 39.00; 6.08; 0.20 
no; 1.9; 73; 44.00; 6.10; 0.16 
no; 1.75; 80; 43.00; 6.04; 0.15 
no; 1.9; 74; 42.00; 5.92; 0.15 
yes; 1.87; 79; 49.00; 6.13; 0.15 
no; 1.81; 72; 42.00; 6.00; 0.19 
no; 1.86; 77; 40.00; 5.83; 0.17 
no; 1.89; 74; 39.00; 6.07; 0.18 
no; 1.88; 75; 44.00; 5.89; 0.18 
no; 1.76; 77; 45.00; 6.06; 0.15 
no; 1.84; 76; 44.00; 5.99; 0.19 
no; 1.8; 76; 39.00; 5.86; 0.19 
no; 1.77; 73; 43.00; 5.95; 0.15 
no; 1.84; 72; 42.00; 5.80; 0.17 
no; 1.86; 75; 45.00; 5.85; 0.15 
no; 1.84; 73; 39.00; 5.90; 0.15 
no; 1.82; 76; 46.00; 5.71; 0.18 
no; 1.81; 77; 46.00; 5.88; 0.15 
no; 1.75; 75; 41.00; 5.99; 0.17 
no; 1.88; 74; 46.00; 5.93; 0.15 
no; 1.81; 80; 40.00; 5.71; 0.18 
no; 1.76; 79; 44.00; 5.87; 0.18 
no; 1.81; 72; 43.00; 5.86; 0.15 
no; 1.81; 79; 40.00; 5.99; 0.15 
no; 1.82; 75; 46.00; 5.93; 0.17 
no; 1.82; 77; 41.00; 5.79; 0.18 
no; 1.79; 73; 46.00; 5.92; 0.20 
no; 1.76; 75; 45.00; 5.95; 0.19 
no; 1.83; 78; 39.00; 5.88; 0.17 
yes; 1.89; 78; 42.00; 5.93; 0.14 
no; 1.88; 74; 43.00; 6.07; 0.17 
no; 1.81; 78; 41.00; 6.06; 0.14 
no; 1.9; 80; 41.00; 6.06; 0.17 
no; 1.88; 74; 43.00; 6.06; 0.15 
no; 1.75; 76; 46.00; 5.86; 0.15 
