record; height; mass; legs_length; lung capacity; muscle to fat ratio 
no; 1.65; 72; 75.00; 5.90; 0.20 
no; 1.78; 69; 71.00; 5.74; 0.16 
no; 1.7; 74; 79.00; 5.56; 0.19 
no; 1.69; 73; 72.00; 5.55; 0.18 
no; 1.8; 74; 72.00; 5.78; 0.16 
no; 1.79; 69; 75.00; 5.97; 0.17 
no; 1.74; 73; 80.00; 5.69; 0.18 
no; 1.65; 69; 78.00; 5.91; 0.19 
no; 1.79; 72; 79.00; 5.52; 0.15 
no; 1.66; 72; 78.00; 5.51; 0.17 
no; 1.78; 71; 78.00; 5.54; 0.20 
no; 1.7; 71; 78.00; 5.73; 0.19 
yes; 1.88; 65; 76.00; 5.66; 0.14 
no; 1.74; 69; 76.00; 5.67; 0.16 
no; 1.7; 74; 73.00; 5.56; 0.18 
no; 1.78; 70; 76.00; 5.80; 0.19 
no; 1.81; 73; 78.00; 5.77; 0.17 
no; 1.71; 74; 80.00; 5.66; 0.18 
no; 1.85; 74; 74.00; 5.56; 0.19 
no; 1.7; 74; 75.00; 5.92; 0.18 
no; 1.73; 69; 77.00; 5.89; 0.17 
no; 1.85; 72; 75.00; 5.56; 0.16 
no; 1.72; 71; 71.00; 5.84; 0.16 
no; 1.85; 70; 79.00; 5.81; 0.18 
yes; 1.85; 71; 77.00; 6.03; 0.19 
no; 1.69; 74; 71.00; 5.99; 0.17 
no; 1.65; 69; 76.00; 5.99; 0.17 
no; 1.84; 69; 71.00; 5.87; 0.14 
no; 1.85; 74; 80.00; 5.73; 0.18 
no; 1.74; 69; 77.00; 5.81; 0.15 
no; 1.83; 74; 78.00; 5.94; 0.17 
no; 1.79; 73; 71.00; 5.52; 0.19 
no; 1.73; 72; 75.00; 5.99; 0.16 
no; 1.72; 74; 71.00; 5.89; 0.16 
no; 1.69; 73; 77.00; 5.67; 0.20 
no; 1.66; 72; 71.00; 5.71; 0.18 
no; 1.68; 69; 76.00; 5.69; 0.17 
no; 1.71; 70; 71.00; 5.67; 0.15 
no; 1.65; 72; 77.00; 5.86; 0.14 
no; 1.68; 69; 71.00; 5.98; 0.17 
no; 1.85; 70; 78.00; 5.76; 0.20 
no; 1.7; 69; 78.00; 5.53; 0.20 
no; 1.82; 73; 79.00; 5.80; 0.20 
yes; 1.77; 67; 78.00; 5.63; 0.16 
no; 1.83; 74; 76.00; 5.55; 0.19 
no; 1.77; 74; 78.00; 5.91; 0.15 
no; 1.8; 69; 75.00; 5.69; 0.19 
no; 1.72; 72; 77.00; 5.89; 0.15 
no; 1.65; 73; 79.00; 5.70; 0.15 
no; 1.75; 71; 73.00; 5.58; 0.18 
no; 1.83; 72; 73.00; 5.69; 0.17 
no; 1.67; 72; 78.00; 5.91; 0.17 
no; 1.7; 72; 80.00; 5.83; 0.16 
no; 1.7; 69; 80.00; 5.60; 0.14 
no; 1.67; 73; 73.00; 5.64; 0.16 
no; 1.76; 74; 78.00; 5.54; 0.18 
no; 1.8; 69; 80.00; 5.74; 0.19 
no; 1.78; 73; 77.00; 5.84; 0.17 
no; 1.85; 70; 75.00; 5.85; 0.20 
no; 1.65; 71; 77.00; 5.64; 0.14 
no; 1.66; 74; 77.00; 5.79; 0.14 
no; 1.76; 69; 72.00; 5.85; 0.17 
no; 1.85; 73; 77.00; 5.98; 0.18 
no; 1.77; 71; 80.00; 5.63; 0.18 
no; 1.67; 71; 76.00; 5.91; 0.15 
no; 1.69; 74; 78.00; 5.89; 0.16 
no; 1.7; 72; 77.00; 5.56; 0.14 
no; 1.81; 70; 76.00; 5.90; 0.19 
no; 1.78; 73; 75.00; 5.67; 0.15 
no; 1.65; 69; 77.00; 5.65; 0.19 
yes; 1.75; 69; 80.00; 5.61; 0.15 
no; 1.8; 74; 74.00; 5.86; 0.15 
no; 1.83; 73; 78.00; 5.63; 0.17 
no; 1.75; 72; 74.00; 5.99; 0.18 
no; 1.76; 69; 72.00; 5.54; 0.16 
no; 1.83; 71; 79.00; 5.62; 0.14 
yes; 1.85; 68; 78.00; 5.98; 0.16 
no; 1.77; 72; 79.00; 5.92; 0.19 
no; 1.8; 72; 77.00; 5.90; 0.17 
no; 1.71; 70; 76.00; 5.81; 0.15 
no; 1.75; 70; 75.00; 5.66; 0.19 
no; 1.7; 73; 77.00; 5.58; 0.19 
no; 1.67; 74; 79.00; 5.96; 0.14 
no; 1.71; 72; 76.00; 5.85; 0.14 
no; 1.65; 71; 78.00; 5.92; 0.14 
no; 1.74; 74; 78.00; 5.95; 0.15 
no; 1.8; 73; 75.00; 5.90; 0.20 
no; 1.69; 71; 79.00; 5.80; 0.19 
no; 1.71; 73; 77.00; 5.87; 0.19 
no; 1.72; 72; 78.00; 5.65; 0.18 
no; 1.8; 72; 80.00; 5.91; 0.18 
yes; 1.82; 65; 79.00; 6.27; 0.14 
no; 1.76; 73; 74.00; 5.53; 0.18 
no; 1.83; 69; 76.00; 5.90; 0.15 
no; 1.72; 69; 75.00; 5.90; 0.16 
no; 1.82; 70; 72.00; 5.98; 0.16 
no; 1.65; 72; 72.00; 5.98; 0.16 
no; 1.69; 69; 76.00; 5.72; 0.19 
no; 1.65; 70; 78.00; 5.69; 0.14 
no; 1.78; 70; 76.00; 5.69; 0.17 
no; 1.76; 72; 73.00; 5.94; 0.16 
no; 1.73; 74; 75.00; 5.86; 0.14 
no; 1.68; 69; 77.00; 5.92; 0.19 
no; 1.67; 70; 80.00; 5.97; 0.18 
no; 1.83; 71; 75.00; 5.52; 0.15 
no; 1.69; 69; 76.00; 5.65; 0.18 
yes; 1.82; 66; 77.00; 5.81; 0.15 
no; 1.69; 72; 80.00; 5.64; 0.19 
no; 1.7; 74; 74.00; 5.76; 0.15 
no; 1.82; 73; 75.00; 5.77; 0.17 
no; 1.83; 71; 77.00; 5.64; 0.18 
no; 1.79; 73; 76.00; 5.95; 0.19 
no; 1.65; 71; 75.00; 5.74; 0.18 
no; 1.67; 71; 79.00; 5.57; 0.14 
no; 1.8; 73; 76.00; 5.79; 0.18 
no; 1.76; 74; 75.00; 5.96; 0.14 
no; 1.8; 72; 79.00; 5.55; 0.15 
no; 1.71; 70; 80.00; 5.91; 0.16 
no; 1.77; 74; 77.00; 5.62; 0.20 
no; 1.71; 69; 72.00; 5.55; 0.19 
no; 1.79; 74; 79.00; 5.60; 0.15 
no; 1.84; 73; 74.00; 5.69; 0.20 
no; 1.8; 73; 73.00; 5.81; 0.18 
no; 1.81; 69; 78.00; 5.56; 0.16 
no; 1.67; 72; 78.00; 5.91; 0.17 
no; 1.65; 74; 75.00; 5.82; 0.19 
no; 1.73; 69; 78.00; 5.76; 0.15 
no; 1.78; 72; 79.00; 5.64; 0.18 
no; 1.84; 72; 77.00; 5.77; 0.20 
no; 1.66; 70; 73.00; 5.98; 0.18 
yes; 1.89; 69; 79.00; 6.05; 0.16 
no; 1.77; 70; 79.00; 5.98; 0.16 
no; 1.76; 74; 73.00; 5.62; 0.15 
yes; 1.78; 71; 81.00; 5.81; 0.17 
no; 1.71; 72; 73.00; 5.71; 0.18 
no; 1.71; 72; 77.00; 5.67; 0.19 
no; 1.81; 69; 74.00; 5.57; 0.15 
no; 1.82; 74; 72.00; 5.53; 0.18 
no; 1.65; 69; 73.00; 5.71; 0.15 
no; 1.77; 70; 73.00; 5.67; 0.14 
yes; 1.76; 70; 78.00; 5.89; 0.16 
no; 1.75; 74; 71.00; 5.93; 0.19 
no; 1.77; 69; 75.00; 5.78; 0.16 
no; 1.69; 72; 79.00; 5.53; 0.15 
no; 1.66; 69; 77.00; 5.74; 0.17 
no; 1.8; 73; 71.00; 5.76; 0.18 
no; 1.67; 72; 77.00; 5.70; 0.17 
no; 1.76; 69; 72.00; 5.91; 0.16 
no; 1.81; 69; 71.00; 5.54; 0.19 
no; 1.69; 69; 77.00; 5.90; 0.19 
no; 1.76; 71; 74.00; 5.57; 0.19 
no; 1.71; 73; 76.00; 5.92; 0.17 
no; 1.66; 73; 80.00; 5.71; 0.14 
no; 1.84; 69; 71.00; 5.80; 0.16 
no; 1.8; 73; 77.00; 5.84; 0.15 
no; 1.7; 69; 75.00; 5.75; 0.15 
no; 1.66; 72; 77.00; 5.71; 0.17 
no; 1.76; 70; 74.00; 5.90; 0.20 
no; 1.8; 69; 75.00; 5.72; 0.18 
no; 1.69; 74; 78.00; 5.51; 0.17 
no; 1.75; 74; 79.00; 5.73; 0.16 
no; 1.83; 73; 79.00; 5.83; 0.17 
no; 1.65; 70; 79.00; 5.98; 0.15 
no; 1.67; 72; 77.00; 5.54; 0.18 
no; 1.7; 73; 80.00; 5.69; 0.14 
no; 1.75; 73; 80.00; 5.95; 0.19 
no; 1.8; 71; 79.00; 5.85; 0.18 
no; 1.75; 71; 78.00; 5.96; 0.20 
no; 1.85; 72; 73.00; 5.93; 0.14 
no; 1.74; 71; 72.00; 5.73; 0.16 
no; 1.7; 69; 71.00; 5.91; 0.17 
no; 1.77; 74; 72.00; 5.64; 0.19 
no; 1.71; 72; 73.00; 5.71; 0.16 
no; 1.71; 71; 72.00; 5.52; 0.17 
no; 1.85; 72; 80.00; 5.59; 0.20 
no; 1.7; 71; 76.00; 5.60; 0.15 
no; 1.77; 71; 71.00; 5.57; 0.19 
no; 1.73; 74; 77.00; 5.84; 0.19 
no; 1.82; 72; 74.00; 5.78; 0.15 
no; 1.69; 73; 74.00; 5.50; 0.20 
no; 1.77; 73; 73.00; 5.55; 0.17 
no; 1.71; 73; 71.00; 5.80; 0.14 
no; 1.8; 73; 71.00; 5.91; 0.20 
no; 1.78; 72; 75.00; 5.79; 0.16 
yes; 1.79; 70; 80.00; 5.80; 0.17 
no; 1.81; 74; 76.00; 5.64; 0.20 
no; 1.67; 71; 77.00; 5.61; 0.15 
no; 1.65; 74; 78.00; 5.63; 0.15 
no; 1.77; 70; 80.00; 5.65; 0.18 
no; 1.65; 72; 75.00; 5.56; 0.19 
no; 1.74; 69; 71.00; 5.51; 0.15 
no; 1.65; 74; 77.00; 5.94; 0.18 
no; 1.76; 74; 78.00; 5.78; 0.18 
no; 1.78; 70; 73.00; 5.58; 0.20 
yes; 1.88; 72; 76.00; 6.29; 0.14 
yes; 1.82; 71; 78.00; 5.86; 0.18 
no; 1.68; 73; 72.00; 5.95; 0.19 
no; 1.8; 71; 76.00; 5.68; 0.16 
no; 1.84; 72; 79.00; 5.62; 0.18 
no; 1.8; 71; 71.00; 5.50; 0.20 
no; 1.78; 73; 72.00; 5.62; 0.19 
no; 1.83; 71; 80.00; 5.64; 0.15 
yes; 1.87; 72; 81.00; 5.74; 0.17 
yes; 1.78; 71; 77.00; 6.04; 0.17 
no; 1.68; 72; 76.00; 5.97; 0.19 
no; 1.82; 73; 73.00; 5.65; 0.17 
no; 1.69; 73; 79.00; 5.93; 0.19 
no; 1.82; 69; 75.00; 5.72; 0.15 
no; 1.78; 72; 79.00; 5.70; 0.19 
no; 1.71; 69; 74.00; 5.88; 0.15 
no; 1.69; 74; 72.00; 5.55; 0.17 
no; 1.66; 72; 74.00; 5.74; 0.20 
no; 1.74; 74; 77.00; 5.64; 0.15 
no; 1.73; 69; 75.00; 5.90; 0.18 
no; 1.84; 71; 79.00; 5.82; 0.15 
