record; height; mass; arm length; bicep size; muscle to fat ratio 
no; 1.75; 86; 0.86; 13.14; 0.12 
no; 1.76; 79; 0.86; 13.58; 0.16 
no; 1.73; 83; 0.85; 13.49; 0.11 
no; 1.85; 78; 0.91; 13.86; 0.15 
no; 1.78; 79; 0.87; 13.66; 0.14 
no; 1.74; 79; 0.85; 13.12; 0.12 
no; 1.8; 84; 0.88; 13.96; 0.16 
no; 1.83; 84; 0.90; 13.72; 0.13 
no; 1.8; 75; 0.88; 13.75; 0.16 
no; 1.76; 76; 0.86; 13.20; 0.13 
no; 1.81; 79; 0.89; 13.55; 0.13 
no; 1.78; 77; 0.87; 13.70; 0.12 
no; 1.72; 86; 0.84; 13.87; 0.13 
no; 1.85; 84; 0.91; 13.07; 0.17 
no; 1.77; 78; 0.87; 13.78; 0.17 
no; 1.76; 77; 0.86; 13.56; 0.13 
no; 1.82; 82; 0.89; 13.61; 0.14 
no; 1.84; 76; 0.90; 13.83; 0.12 
no; 1.85; 84; 0.91; 13.85; 0.16 
no; 1.81; 85; 0.89; 13.20; 0.11 
no; 1.71; 75; 0.84; 13.70; 0.15 
no; 1.75; 85; 0.86; 13.45; 0.11 
no; 1.82; 83; 0.89; 13.37; 0.16 
no; 1.84; 86; 0.90; 13.92; 0.18 
no; 1.81; 86; 0.89; 13.82; 0.13 
no; 1.75; 76; 0.86; 13.14; 0.12 
no; 1.83; 86; 0.90; 13.23; 0.15 
no; 1.82; 76; 0.89; 13.74; 0.17 
no; 1.78; 76; 0.87; 13.85; 0.14 
no; 1.84; 82; 0.90; 13.04; 0.12 
no; 1.82; 77; 0.89; 13.14; 0.17 
no; 1.71; 83; 0.84; 13.90; 0.19 
no; 1.79; 76; 0.88; 13.25; 0.15 
no; 1.77; 77; 0.87; 13.73; 0.12 
no; 1.78; 79; 0.87; 13.80; 0.16 
no; 1.79; 86; 0.88; 13.92; 0.17 
no; 1.71; 80; 0.84; 13.24; 0.13 
no; 1.85; 86; 0.91; 13.14; 0.12 
no; 1.84; 82; 0.90; 13.23; 0.15 
no; 1.73; 76; 0.85; 13.38; 0.18 
no; 1.84; 79; 0.90; 13.12; 0.15 
no; 1.81; 79; 0.89; 13.17; 0.16 
no; 1.71; 77; 0.84; 13.41; 0.16 
no; 1.81; 82; 0.89; 13.12; 0.13 
no; 1.75; 85; 0.86; 13.16; 0.15 
no; 1.75; 75; 0.86; 13.19; 0.19 
yes; 1.8; 89; 0.88; 14.09; 0.15 
no; 1.74; 76; 0.85; 13.77; 0.11 
no; 1.78; 79; 0.87; 13.41; 0.18 
no; 1.8; 79; 0.88; 13.07; 0.13 
no; 1.76; 80; 0.86; 13.03; 0.12 
no; 1.74; 77; 0.85; 13.13; 0.17 
yes; 1.87; 81; 0.92; 13.67; 0.12 
no; 1.84; 86; 0.90; 13.07; 0.18 
no; 1.85; 86; 0.91; 13.14; 0.16 
no; 1.72; 81; 0.84; 13.35; 0.13 
no; 1.71; 82; 0.84; 13.73; 0.17 
no; 1.8; 83; 0.88; 13.51; 0.15 
no; 1.77; 80; 0.87; 13.71; 0.17 
no; 1.77; 82; 0.87; 13.81; 0.16 
no; 1.81; 78; 0.89; 13.57; 0.16 
no; 1.84; 86; 0.90; 13.97; 0.19 
no; 1.84; 85; 0.90; 13.53; 0.13 
no; 1.76; 82; 0.86; 13.04; 0.18 
no; 1.72; 78; 0.84; 13.68; 0.19 
no; 1.81; 86; 0.89; 13.29; 0.14 
no; 1.83; 82; 0.90; 13.26; 0.12 
no; 1.8; 81; 0.88; 13.83; 0.18 
no; 1.8; 82; 0.88; 13.74; 0.17 
no; 1.74; 85; 0.85; 13.60; 0.16 
no; 1.76; 83; 0.86; 13.81; 0.13 
no; 1.71; 85; 0.84; 13.44; 0.18 
no; 1.84; 86; 0.90; 13.11; 0.17 
no; 1.73; 75; 0.85; 13.37; 0.18 
no; 1.77; 82; 0.87; 13.39; 0.11 
no; 1.83; 83; 0.90; 13.23; 0.17 
no; 1.75; 86; 0.86; 13.17; 0.11 
no; 1.78; 86; 0.87; 13.69; 0.15 
no; 1.85; 86; 0.91; 13.00; 0.13 
no; 1.77; 78; 0.87; 13.46; 0.11 
no; 1.76; 78; 0.86; 13.94; 0.12 
yes; 1.87; 84; 0.92; 13.91; 0.11 
no; 1.77; 85; 0.87; 13.98; 0.14 
no; 1.74; 81; 0.85; 13.31; 0.14 
no; 1.76; 77; 0.86; 13.40; 0.14 
no; 1.84; 81; 0.90; 13.13; 0.17 
no; 1.85; 75; 0.91; 13.19; 0.18 
no; 1.79; 82; 0.88; 13.15; 0.17 
no; 1.77; 84; 0.87; 13.67; 0.17 
no; 1.8; 80; 0.88; 13.19; 0.18 
no; 1.8; 78; 0.88; 13.00; 0.13 
no; 1.82; 84; 0.89; 13.57; 0.12 
no; 1.71; 82; 0.84; 13.49; 0.15 
no; 1.81; 78; 0.89; 13.68; 0.15 
no; 1.81; 78; 0.89; 13.08; 0.13 
no; 1.81; 85; 0.89; 13.37; 0.15 
no; 1.8; 77; 0.88; 13.26; 0.18 
no; 1.81; 75; 0.89; 13.27; 0.17 
no; 1.84; 75; 0.90; 13.23; 0.11 
no; 1.72; 79; 0.84; 13.35; 0.12 
no; 1.85; 76; 0.91; 13.59; 0.14 
no; 1.83; 83; 0.90; 13.89; 0.14 
no; 1.77; 77; 0.87; 13.87; 0.12 
no; 1.77; 79; 0.87; 13.71; 0.17 
yes; 1.8; 88; 0.88; 13.90; 0.15 
no; 1.8; 82; 0.88; 13.24; 0.11 
no; 1.79; 81; 0.88; 13.50; 0.17 
no; 1.73; 85; 0.85; 13.94; 0.14 
no; 1.79; 76; 0.88; 13.02; 0.19 
no; 1.85; 82; 0.91; 13.25; 0.14 
no; 1.85; 75; 0.91; 13.93; 0.14 
no; 1.74; 85; 0.85; 13.74; 0.15 
no; 1.72; 78; 0.84; 13.58; 0.18 
no; 1.75; 78; 0.86; 13.50; 0.13 
no; 1.76; 86; 0.86; 13.56; 0.16 
no; 1.81; 75; 0.89; 13.29; 0.13 
no; 1.8; 83; 0.88; 13.67; 0.17 
no; 1.79; 75; 0.88; 13.01; 0.15 
no; 1.74; 84; 0.85; 13.14; 0.17 
no; 1.82; 77; 0.89; 13.23; 0.18 
no; 1.71; 84; 0.84; 13.53; 0.13 
no; 1.8; 81; 0.88; 13.95; 0.14 
yes; 1.88; 88; 0.92; 14.09; 0.16 
no; 1.78; 83; 0.87; 13.52; 0.13 
no; 1.76; 75; 0.86; 13.06; 0.15 
no; 1.82; 77; 0.89; 13.61; 0.18 
no; 1.72; 75; 0.84; 13.96; 0.17 
no; 1.73; 86; 0.85; 13.81; 0.18 
no; 1.83; 86; 0.90; 13.04; 0.17 
no; 1.82; 75; 0.89; 13.18; 0.13 
no; 1.77; 84; 0.87; 13.82; 0.14 
no; 1.78; 76; 0.87; 13.92; 0.12 
no; 1.81; 83; 0.89; 13.69; 0.13 
no; 1.72; 75; 0.84; 13.93; 0.12 
no; 1.76; 85; 0.86; 13.71; 0.13 
no; 1.76; 79; 0.86; 13.90; 0.12 
no; 1.83; 85; 0.90; 13.95; 0.18 
no; 1.78; 78; 0.87; 13.27; 0.19 
yes; 1.87; 89; 0.92; 13.77; 0.14 
no; 1.79; 86; 0.88; 13.98; 0.19 
no; 1.71; 80; 0.84; 13.36; 0.17 
yes; 1.87; 89; 0.92; 13.94; 0.12 
no; 1.78; 84; 0.87; 13.04; 0.14 
no; 1.83; 85; 0.90; 13.02; 0.14 
no; 1.77; 83; 0.87; 13.50; 0.18 
no; 1.81; 75; 0.89; 13.73; 0.13 
no; 1.71; 79; 0.84; 13.61; 0.13 
no; 1.84; 77; 0.90; 13.79; 0.11 
no; 1.76; 77; 0.86; 13.85; 0.19 
no; 1.78; 75; 0.87; 13.93; 0.17 
no; 1.83; 86; 0.90; 13.70; 0.18 
no; 1.84; 76; 0.90; 13.59; 0.16 
no; 1.83; 86; 0.90; 13.83; 0.14 
no; 1.82; 85; 0.89; 13.91; 0.13 
no; 1.75; 80; 0.86; 13.54; 0.14 
no; 1.77; 83; 0.87; 13.39; 0.16 
no; 1.72; 76; 0.84; 13.55; 0.19 
no; 1.84; 75; 0.90; 13.55; 0.16 
no; 1.78; 82; 0.87; 13.56; 0.11 
no; 1.81; 78; 0.89; 13.29; 0.19 
no; 1.78; 80; 0.87; 13.48; 0.14 
yes; 1.82; 84; 0.89; 13.59; 0.14 
no; 1.8; 83; 0.88; 13.21; 0.15 
no; 1.77; 80; 0.87; 13.25; 0.16 
no; 1.73; 77; 0.85; 13.50; 0.12 
no; 1.75; 81; 0.86; 13.27; 0.15 
no; 1.81; 86; 0.89; 13.84; 0.14 
no; 1.85; 76; 0.91; 13.67; 0.13 
no; 1.75; 78; 0.86; 13.11; 0.14 
no; 1.83; 75; 0.90; 13.80; 0.17 
no; 1.81; 86; 0.89; 13.17; 0.17 
no; 1.77; 85; 0.87; 13.59; 0.11 
no; 1.84; 76; 0.90; 13.92; 0.16 
yes; 1.82; 89; 0.89; 13.58; 0.16 
no; 1.77; 86; 0.87; 13.99; 0.12 
yes; 1.81; 87; 0.89; 14.12; 0.13 
no; 1.75; 79; 0.86; 13.05; 0.17 
no; 1.83; 76; 0.90; 13.50; 0.11 
no; 1.75; 80; 0.86; 13.02; 0.19 
no; 1.79; 83; 0.88; 13.70; 0.16 
no; 1.84; 82; 0.90; 13.76; 0.14 
no; 1.82; 85; 0.89; 13.68; 0.14 
no; 1.81; 85; 0.89; 13.62; 0.13 
no; 1.79; 75; 0.88; 13.37; 0.11 
no; 1.84; 76; 0.90; 13.41; 0.15 
no; 1.77; 80; 0.87; 13.32; 0.17 
no; 1.72; 78; 0.84; 13.17; 0.17 
no; 1.73; 76; 0.85; 13.13; 0.13 
no; 1.72; 86; 0.84; 13.42; 0.18 
no; 1.8; 86; 0.88; 13.30; 0.11 
no; 1.75; 79; 0.86; 13.73; 0.17 
no; 1.81; 79; 0.89; 13.02; 0.17 
no; 1.81; 80; 0.89; 13.66; 0.19 
no; 1.84; 76; 0.90; 13.02; 0.16 
no; 1.73; 79; 0.85; 13.47; 0.14 
no; 1.71; 80; 0.84; 13.71; 0.15 
no; 1.82; 85; 0.89; 13.38; 0.12 
no; 1.79; 83; 0.88; 13.21; 0.16 
no; 1.81; 84; 0.89; 13.96; 0.15 
no; 1.72; 83; 0.84; 13.70; 0.15 
no; 1.72; 76; 0.84; 13.43; 0.11 
no; 1.74; 77; 0.85; 13.94; 0.12 
no; 1.84; 83; 0.90; 13.13; 0.16 
no; 1.8; 84; 0.88; 13.61; 0.15 
no; 1.83; 78; 0.90; 13.08; 0.12 
no; 1.72; 85; 0.84; 13.22; 0.15 
no; 1.74; 83; 0.85; 13.94; 0.12 
yes; 1.89; 83; 0.93; 13.55; 0.14 
no; 1.82; 84; 0.89; 13.30; 0.17 
no; 1.79; 75; 0.88; 13.02; 0.17 
no; 1.71; 86; 0.84; 13.37; 0.14 
no; 1.82; 80; 0.89; 13.14; 0.14 
no; 1.72; 85; 0.84; 13.18; 0.13 
no; 1.72; 85; 0.84; 13.30; 0.16 
no; 1.71; 77; 0.84; 13.53; 0.15 
