"Name","Start","End","Duration","Process"
"Zoom Spotkanie","2023-01-05T18:28:41.0000000","2023-01-05T18:29:31.0000000","0:00:50","Zoom"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:29:31.0000000","2023-01-05T18:29:56.0000000","0:00:25","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:39:35.0000000","2023-01-05T18:39:40.0000000","0:00:05","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:39:40.0000000","2023-01-05T18:39:46.0000000","0:00:06","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:39:46.0000000","2023-01-05T18:39:52.0000000","0:00:06","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:39:52.0000000","2023-01-05T18:39:58.0000000","0:00:06","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:39:58.0000000","2023-01-05T18:40:04.0000000","0:00:06","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:40:04.0000000","2023-01-05T18:40:16.0000000","0:00:12","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:40:16.0000000","2023-01-05T18:40:22.0000000","0:00:06","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:40:22.0000000","2023-01-05T18:45:22.0000000","0:05:00","Google Chrome"
"instaKod - Google Chrome","2023-01-05T18:45:22.0000000","2023-01-05T18:45:28.0000000","0:00:06","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:45:28.0000000","2023-01-05T18:47:10.0000000","0:01:42","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:47:10.0000000","2023-01-05T18:47:16.0000000","0:00:06","Google Chrome"
"System operacyjny Microsoft® Windows®","2023-01-05T18:47:16.0000000","2023-01-05T18:52:24.0000000","0:05:08","System operacyjny Microsoft® Windows®"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:52:24.0000000","2023-01-05T18:52:29.0000000","0:00:05","Google Chrome"
"instaKod - Google Chrome","2023-01-05T18:52:29.0000000","2023-01-05T18:52:47.0000000","0:00:18","Google Chrome"
"instaKod - Google Chrome","2023-01-05T18:52:47.0000000","2023-01-05T18:53:29.0000000","0:00:42","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:53:29.0000000","2023-01-05T18:53:34.0000000","0:00:05","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:53:34.0000000","2023-01-05T18:55:49.0000000","0:02:15","Google Chrome"
"instaKod - Google Chrome","2023-01-05T18:55:49.0000000","2023-01-05T18:56:21.0000000","0:00:32","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:56:21.0000000","2023-01-05T18:59:00.0000000","0:02:39","Google Chrome"
"instaKod - Google Chrome","2023-01-05T18:59:00.0000000","2023-01-05T18:59:06.0000000","0:00:06","Google Chrome"
"instaKod - Google Chrome","2023-01-05T18:59:06.0000000","2023-01-05T18:59:35.0000000","0:00:29","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T18:59:35.0000000","2023-01-05T19:01:38.0000000","0:02:03","Google Chrome"
"instaKod - Google Chrome","2023-01-05T19:01:38.0000000","2023-01-05T19:02:39.0000000","0:01:01","Google Chrome"
"*Bez tytułu — Notatnik","2023-01-05T19:02:39.0000000","2023-01-05T19:02:44.0000000","0:00:05","Notepad"
"System operacyjny Microsoft® Windows®","2023-01-05T19:02:44.0000000","2023-01-05T19:02:49.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"*Bez tytułu — Notatnik","2023-01-05T19:02:49.0000000","2023-01-05T19:03:38.0000000","0:00:49","Notepad"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T19:03:38.0000000","2023-01-05T19:03:44.0000000","0:00:06","Google Chrome"
"instaKod - Google Chrome","2023-01-05T19:03:44.0000000","2023-01-05T19:04:08.0000000","0:00:24","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T19:04:08.0000000","2023-01-05T19:04:37.0000000","0:00:29","Google Chrome"
"instaKod - Google Chrome","2023-01-05T19:04:37.0000000","2023-01-05T19:04:52.0000000","0:00:15","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T19:04:52.0000000","2023-01-05T19:05:08.0000000","0:00:16","Google Chrome"
"instaKod - Google Chrome","2023-01-05T19:05:08.0000000","2023-01-05T19:05:45.0000000","0:00:37","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T19:05:45.0000000","2023-01-05T19:06:02.0000000","0:00:17","Google Chrome"
"instaKod - Google Chrome","2023-01-05T19:06:02.0000000","2023-01-05T19:06:17.0000000","0:00:15","Google Chrome"
"instadb.com - Dziennik zajęć - pełny - Google Chrome","2023-01-05T19:06:17.0000000","2023-01-05T19:07:12.0000000","0:00:55","Google Chrome"
"instaKod - Google Chrome","2023-01-05T19:07:12.0000000","2023-01-05T19:07:21.0000000","0:00:09","Google Chrome"
"instadb.com - praca - Google Chrome","2023-01-05T19:07:21.0000000","2023-01-05T19:07:37.0000000","0:00:16","Google Chrome"
"*Bez tytułu — Notatnik","2023-01-05T19:07:37.0000000","2023-01-05T19:07:42.0000000","0:00:05","Notepad"
"System operacyjny Microsoft® Windows®","2023-01-05T19:07:42.0000000","2023-01-05T19:07:57.0000000","0:00:15","System operacyjny Microsoft® Windows®"
"System operacyjny Microsoft® Windows®","2023-01-05T23:02:03.0000000","2023-01-05T23:02:20.0000000","0:00:17","System operacyjny Microsoft® Windows®"
"Badge - Eric Clapton","2023-01-05T23:02:20.0000000","2023-01-05T23:02:32.0000000","0:00:12","TIDAL"
"League of Legends","2023-01-05T23:02:32.0000000","2023-01-05T23:04:08.0000000","0:01:36","League of Legends"
"Odebrane (2 383) - michal.iwicki00@gmail.com - Gmail - Google Chrome","2023-01-05T23:04:08.0000000","2023-01-05T23:04:14.0000000","0:00:06","Google Chrome"
"League of Legends","2023-01-05T23:04:14.0000000","2023-01-05T23:04:20.0000000","0:00:06","League of Legends"
"Facebook - Google Chrome","2023-01-05T23:04:20.0000000","2023-01-05T23:05:30.0000000","0:01:10","Google Chrome"
"League of Legends (TM) Client","2023-01-05T23:05:30.0000000","2023-01-05T23:23:12.0000000","0:17:42","League of Legends (TM) Client"
"Why Does Love Got To Be So Sad - Derek & The Dominos","2023-01-05T23:23:12.0000000","2023-01-05T23:23:18.0000000","0:00:06","TIDAL"
"League of Legends (TM) Client","2023-01-05T23:23:18.0000000","2023-01-05T23:24:48.0000000","0:01:30","League of Legends (TM) Client"
"Why Does Love Got To Be So Sad - Derek & The Dominos","2023-01-05T23:24:48.0000000","2023-01-05T23:24:55.0000000","0:00:07","TIDAL"
"League of Legends","2023-01-05T23:24:55.0000000","2023-01-05T23:25:32.0000000","0:00:37","League of Legends"
"Subskrypcje - YouTube - Google Chrome","2023-01-05T23:25:32.0000000","2023-01-05T23:25:41.0000000","0:00:09","Google Chrome"
"YouTube - Google Chrome","2023-01-05T23:25:41.0000000","2023-01-05T23:26:11.0000000","0:00:30","Google Chrome"
"League of Legends","2023-01-05T23:26:11.0000000","2023-01-05T23:26:47.0000000","0:00:36","League of Legends"
"Noszak Jasne Pełne - Browar Zamkowy Cieszyn - YouTube - Google Chrome","2023-01-05T23:26:47.0000000","2023-01-05T23:27:34.0000000","0:00:47","Google Chrome"
"League of Legends (TM) Client","2023-01-05T23:27:34.0000000","2023-01-05T23:27:39.0000000","0:00:05","League of Legends (TM) Client"
"Noszak Jasne Pełne - Browar Zamkowy Cieszyn - YouTube - Google Chrome","2023-01-05T23:27:39.0000000","2023-01-05T23:27:49.0000000","0:00:10","Google Chrome"
"YouTube - Google Chrome","2023-01-05T23:27:49.0000000","2023-01-05T23:28:30.0000000","0:00:41","Google Chrome"
"Facebook - Google Chrome","2023-01-05T23:28:30.0000000","2023-01-05T23:29:16.0000000","0:00:46","Google Chrome"
"Noszak Jasne Pełne - Browar Zamkowy Cieszyn - YouTube - Google Chrome","2023-01-05T23:29:16.0000000","2023-01-05T23:29:23.0000000","0:00:07","Google Chrome"
"System operacyjny Microsoft® Windows®","2023-01-05T23:29:23.0000000","2023-01-05T23:29:29.0000000","0:00:06","System operacyjny Microsoft® Windows®"
"TIDAL","2023-01-05T23:29:29.0000000","2023-01-05T23:29:36.0000000","0:00:07","TIDAL"
"League of Legends (TM) Client","2023-01-05T23:29:36.0000000","2023-01-05T23:29:42.0000000","0:00:06","League of Legends (TM) Client"
"Noszak Jasne Pełne - Browar Zamkowy Cieszyn - YouTube - Google Chrome","2023-01-05T23:29:42.0000000","2023-01-05T23:31:15.0000000","0:01:33","Google Chrome"
"League of Legends (TM) Client","2023-01-05T23:31:15.0000000","2023-01-05T23:35:29.0000000","0:04:14","League of Legends (TM) Client"
"Why Does Love Got To Be So Sad - Derek & The Dominos","2023-01-05T23:35:29.0000000","2023-01-05T23:35:34.0000000","0:00:05","TIDAL"
"League of Legends (TM) Client","2023-01-05T23:35:34.0000000","2023-01-05T23:50:54.0000000","0:15:20","League of Legends (TM) Client"
"Facebook - Google Chrome","2023-01-05T23:50:54.0000000","2023-01-05T23:51:05.0000000","0:00:11","Google Chrome"
"League of Legends","2023-01-05T23:51:05.0000000","2023-01-05T23:52:06.0000000","0:01:01","League of Legends"
"Facebook - Google Chrome","2023-01-05T23:52:06.0000000","2023-01-05T23:52:21.0000000","0:00:15","Google Chrome"
"League of Legends","2023-01-05T23:52:21.0000000","2023-01-05T23:53:19.0000000","0:00:58","League of Legends"
"Facebook - Google Chrome","2023-01-05T23:53:19.0000000","2023-01-05T23:53:24.0000000","0:00:05","Google Chrome"
"League of Legends (TM) Client","2023-01-05T23:53:24.0000000","2023-01-05T23:53:30.0000000","0:00:06","League of Legends (TM) Client"
"Facebook - Google Chrome","2023-01-05T23:53:30.0000000","2023-01-05T23:54:27.0000000","0:00:57","Google Chrome"
"League of Legends (TM) Client","2023-01-05T23:54:27.0000000","2023-01-06T00:13:12.0000000","0:18:45","League of Legends (TM) Client"
"Facebook - Google Chrome","2023-01-06T00:13:12.0000000","2023-01-06T00:14:22.0000000","0:01:10","Google Chrome"
"League of Legends","2023-01-06T00:14:22.0000000","2023-01-06T00:14:27.0000000","0:00:05","League of Legends"
"System operacyjny Microsoft® Windows®","2023-01-06T00:14:27.0000000","2023-01-06T00:22:30.0000000","0:08:03","System operacyjny Microsoft® Windows®"
"League of Legends","2023-01-06T00:22:30.0000000","2023-01-06T00:24:06.0000000","0:01:36","League of Legends"
"System operacyjny Microsoft® Windows®","2023-01-06T00:24:06.0000000","2023-01-06T00:24:11.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"League of Legends (TM) Client","2023-01-06T00:24:11.0000000","2023-01-06T00:46:21.0000000","0:22:10","League of Legends (TM) Client"
"League of Legends","2023-01-06T00:46:21.0000000","2023-01-06T00:46:51.0000000","0:00:30","League of Legends"
"System operacyjny Microsoft® Windows®","2023-01-06T00:46:51.0000000","2023-01-06T00:46:56.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"League of Legends (TM) Client","2023-01-06T00:46:56.0000000","2023-01-06T00:47:33.0000000","0:00:37","League of Legends (TM) Client"
"League of Legends","2023-01-06T00:47:33.0000000","2023-01-06T00:47:38.0000000","0:00:05","League of Legends"
"System operacyjny Microsoft® Windows®","2023-01-06T00:47:38.0000000","2023-01-06T00:48:04.0000000","0:00:26","System operacyjny Microsoft® Windows®"
"System operacyjny Microsoft® Windows®","2023-01-06T12:43:45.0000000","2023-01-06T12:43:54.0000000","0:00:09","System operacyjny Microsoft® Windows®"
"ELDEN RING™","2023-01-06T12:43:54.0000000","2023-01-06T13:00:53.0000000","0:16:59","ELDEN RING™"
"https://www.youtube.com/feed/subscriptions - Google Chrome","2023-01-06T13:00:53.0000000","2023-01-06T13:00:58.0000000","0:00:05","Google Chrome"
"Nowa karta - Google Chrome","2023-01-06T13:00:58.0000000","2023-01-06T13:01:03.0000000","0:00:05","Google Chrome"
"Larval Tear | Elden Ring Wiki - Google Chrome","2023-01-06T13:01:03.0000000","2023-01-06T13:01:11.0000000","0:00:08","Google Chrome"
"Elden Ring Larval Tear location - Szukaj w Google - Google Chrome","2023-01-06T13:01:11.0000000","2023-01-06T13:01:18.0000000","0:00:07","Google Chrome"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:01:18.0000000","2023-01-06T13:01:25.0000000","0:00:07","Google Chrome"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:01:25.0000000","2023-01-06T13:01:52.0000000","0:00:27","Google Chrome"
"ELDEN RING™","2023-01-06T13:01:52.0000000","2023-01-06T13:07:34.0000000","0:05:42","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:07:34.0000000","2023-01-06T13:07:58.0000000","0:00:24","Google Chrome"
"ELDEN RING™","2023-01-06T13:07:58.0000000","2023-01-06T13:08:15.0000000","0:00:17","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:08:15.0000000","2023-01-06T13:08:39.0000000","0:00:24","Google Chrome"
"ELDEN RING™","2023-01-06T13:08:39.0000000","2023-01-06T13:09:36.0000000","0:00:57","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:09:36.0000000","2023-01-06T13:09:56.0000000","0:00:20","Google Chrome"
"ELDEN RING™","2023-01-06T13:09:56.0000000","2023-01-06T13:11:46.0000000","0:01:50","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:11:46.0000000","2023-01-06T13:12:18.0000000","0:00:32","Google Chrome"
"ELDEN RING™","2023-01-06T13:12:18.0000000","2023-01-06T13:16:10.0000000","0:03:52","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:16:10.0000000","2023-01-06T13:17:15.0000000","0:01:05","Google Chrome"
"ELDEN RING™","2023-01-06T13:17:15.0000000","2023-01-06T13:18:40.0000000","0:01:25","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:18:40.0000000","2023-01-06T13:18:45.0000000","0:00:05","Google Chrome"
"ELDEN RING™","2023-01-06T13:18:45.0000000","2023-01-06T13:19:22.0000000","0:00:37","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:19:22.0000000","2023-01-06T13:19:37.0000000","0:00:15","Google Chrome"
"ELDEN RING™","2023-01-06T13:19:37.0000000","2023-01-06T13:20:06.0000000","0:00:29","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:20:06.0000000","2023-01-06T13:20:40.0000000","0:00:34","Google Chrome"
"ELDEN RING™","2023-01-06T13:20:40.0000000","2023-01-06T13:21:50.0000000","0:01:10","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:21:50.0000000","2023-01-06T13:22:06.0000000","0:00:16","Google Chrome"
"ELDEN RING™","2023-01-06T13:22:06.0000000","2023-01-06T13:24:43.0000000","0:02:37","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:24:43.0000000","2023-01-06T13:25:09.0000000","0:00:26","Google Chrome"
"ELDEN RING™","2023-01-06T13:25:09.0000000","2023-01-06T13:29:40.0000000","0:04:31","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:29:40.0000000","2023-01-06T13:30:00.0000000","0:00:20","Google Chrome"
"ELDEN RING™","2023-01-06T13:30:00.0000000","2023-01-06T13:31:32.0000000","0:01:32","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:31:32.0000000","2023-01-06T13:31:43.0000000","0:00:11","Google Chrome"
"ELDEN RING™","2023-01-06T13:31:43.0000000","2023-01-06T13:54:42.0000000","0:22:59","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:54:42.0000000","2023-01-06T13:55:06.0000000","0:00:24","Google Chrome"
"Przełączanie zadań","2023-01-06T13:55:06.0000000","2023-01-06T13:55:11.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"ELDEN RING™","2023-01-06T13:55:11.0000000","2023-01-06T13:56:05.0000000","0:00:54","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T13:56:05.0000000","2023-01-06T13:56:34.0000000","0:00:29","Google Chrome"
"ELDEN RING™","2023-01-06T13:56:34.0000000","2023-01-06T14:01:47.0000000","0:05:13","ELDEN RING™"
"Elden Ring - All Larval Tear Locations for Respeccing Your Attributes - YouTube - Google Chrome","2023-01-06T14:01:47.0000000","2023-01-06T14:02:37.0000000","0:00:50","Google Chrome"
"ancient dragon smithing stone - YouTube - Google Chrome","2023-01-06T14:02:37.0000000","2023-01-06T14:02:43.0000000","0:00:06","Google Chrome"
"ELDEN RING™","2023-01-06T14:02:43.0000000","2023-01-06T14:04:00.0000000","0:01:17","ELDEN RING™"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:04:00.0000000","2023-01-06T14:04:57.0000000","0:00:57","Google Chrome"
"ELDEN RING™","2023-01-06T14:04:57.0000000","2023-01-06T14:05:46.0000000","0:00:49","ELDEN RING™"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:05:46.0000000","2023-01-06T14:06:03.0000000","0:00:17","Google Chrome"
"ELDEN RING™","2023-01-06T14:06:03.0000000","2023-01-06T14:06:13.0000000","0:00:10","ELDEN RING™"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:06:13.0000000","2023-01-06T14:07:04.0000000","0:00:51","Google Chrome"
"ELDEN RING™","2023-01-06T14:07:04.0000000","2023-01-06T14:12:18.0000000","0:05:14","ELDEN RING™"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:12:18.0000000","2023-01-06T14:12:23.0000000","0:00:05","Google Chrome"
"Przełączanie zadań","2023-01-06T14:12:23.0000000","2023-01-06T14:12:28.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:12:28.0000000","2023-01-06T14:13:08.0000000","0:00:40","Google Chrome"
"ELDEN RING™","2023-01-06T14:13:08.0000000","2023-01-06T14:14:23.0000000","0:01:15","ELDEN RING™"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:14:23.0000000","2023-01-06T14:14:48.0000000","0:00:25","Google Chrome"
"ELDEN RING™","2023-01-06T14:14:48.0000000","2023-01-06T14:17:45.0000000","0:02:57","ELDEN RING™"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:17:45.0000000","2023-01-06T14:18:04.0000000","0:00:19","Google Chrome"
"ELDEN RING™","2023-01-06T14:18:04.0000000","2023-01-06T14:19:59.0000000","0:01:55","ELDEN RING™"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:19:59.0000000","2023-01-06T14:20:40.0000000","0:00:41","Google Chrome"
"ELDEN RING™","2023-01-06T14:20:40.0000000","2023-01-06T14:26:46.0000000","0:06:06","ELDEN RING™"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:26:46.0000000","2023-01-06T14:26:51.0000000","0:00:05","Google Chrome"
"ELDEN RING™","2023-01-06T14:26:51.0000000","2023-01-06T14:27:14.0000000","0:00:23","ELDEN RING™"
"8 Somber Ancient Dragon Smithing Stone Locations - YouTube - Google Chrome","2023-01-06T14:27:14.0000000","2023-01-06T14:27:19.0000000","0:00:05","Google Chrome"
"Elden Ring - All Ancient Dragon Smithing Stone Location Guide - Easy Fast +25 Upgrade Weapons! - YouTube - Google Chrome","2023-01-06T14:27:19.0000000","2023-01-06T14:27:46.0000000","0:00:27","Google Chrome"
"ancient dragon smithing stone - YouTube - Google Chrome","2023-01-06T14:27:46.0000000","2023-01-06T14:27:59.0000000","0:00:13","Google Chrome"
"System operacyjny Microsoft® Windows®","2023-01-06T14:27:59.0000000","2023-01-06T14:28:04.0000000","0:00:05","System operacyjny Microsoft® Windows®"
"ELDEN RING™","2023-01-06T14:28:04.0000000","2023-01-06T14:29:25.0000000","0:01:21","ELDEN RING™"
"System operacyjny Microsoft® Windows®","2023-01-06T17:51:45.0000000","2023-01-06T17:52:34.0000000","0:00:49","System operacyjny Microsoft® Windows®"
"Nowa karta - Google Chrome","2023-01-06T17:52:34.0000000","2023-01-06T17:52:45.0000000","0:00:11","Google Chrome"
"Facebook - Google Chrome","2023-01-06T17:52:45.0000000","2023-01-06T17:53:52.0000000","0:01:07","Google Chrome"
"Facebook - Google Chrome","2023-01-06T17:53:52.0000000","2023-01-06T17:58:36.0000000","0:04:44","Google Chrome"
"CLIIIIIIING, IT'S TIME! 🔧 - YouTube - Google Chrome","2023-01-06T17:58:36.0000000","2023-01-06T17:59:21.0000000","0:00:45","Google Chrome"
"ELDEN RING™","2023-01-06T17:59:21.0000000","2023-01-06T17:59:51.0000000","0:00:30","ELDEN RING™"
"Subskrypcje - YouTube - Google Chrome","2023-01-06T17:59:51.0000000","2023-01-06T18:00:01.0000000","0:00:10","Google Chrome"
"Sklep z kawą, herbatą i akcesoriami - Coffeedesk.pl - Google Chrome","2023-01-06T18:00:01.0000000","2023-01-06T18:00:14.0000000","0:00:13","Google Chrome"
"Drippery do kawy - ceramiczne, szklane - Coffeedesk - Google Chrome","2023-01-06T18:00:14.0000000","2023-01-06T18:00:26.0000000","0:00:12","Google Chrome"
"Drippery do kawy - ceramiczne, szklane - Coffeedesk - Google Chrome","2023-01-06T18:00:26.0000000","2023-01-06T18:00:38.0000000","0:00:12","Google Chrome"
"Sklep z kawą, herbatą i akcesoriami - Coffeedesk.pl - Google Chrome","2023-01-06T18:00:38.0000000","2023-01-06T18:00:46.0000000","0:00:08","Google Chrome"
"Coffeedesk - Google Chrome","2023-01-06T18:00:46.0000000","2023-01-06T18:01:12.0000000","0:00:26","Google Chrome"
"Hario zestaw V60 Craft Coffee Maker - drip + serwer + filtry - Coffeedesk - Google Chrome","2023-01-06T18:01:12.0000000","2023-01-06T18:01:25.0000000","0:00:13","Google Chrome"
"Coffeedesk - Google Chrome","2023-01-06T18:01:25.0000000","2023-01-06T18:01:37.0000000","0:00:12","Google Chrome"
"Coffeedesk - Google Chrome","2023-01-06T18:01:37.0000000","2023-01-06T18:01:49.0000000","0:00:12","Google Chrome"
"Coffeedesk - Google Chrome","2023-01-06T18:01:49.0000000","2023-01-06T18:02:39.0000000","0:00:50","Google Chrome"
"Hario plastikowy Drip V60-01 Biały - Coffeedesk - Google Chrome","2023-01-06T18:02:39.0000000","2023-01-06T18:02:50.0000000","0:00:11","Google Chrome"
"Hario Range Server V60-01 - 360ml - Coffeedesk - Google Chrome","2023-01-06T18:02:50.0000000","2023-01-06T18:03:03.0000000","0:00:13","Google Chrome"
"Hario zestaw V60 Craft Coffee Maker - drip + serwer + filtry - Coffeedesk - Google Chrome","2023-01-06T18:03:03.0000000","2023-01-06T18:03:08.0000000","0:00:05","Google Chrome"
"Coffeedesk - Google Chrome","2023-01-06T18:03:08.0000000","2023-01-06T18:03:34.0000000","0:00:26","Google Chrome"
"Hario zestaw V60 Craft Coffee Maker - drip + serwer + filtry - Coffeedesk - Google Chrome","2023-01-06T18:03:34.0000000","2023-01-06T18:03:39.0000000","0:00:05","Google Chrome"
"zestaw hario - Szukaj w Google - Google Chrome","2023-01-06T18:03:39.0000000","2023-01-06T18:03:53.0000000","0:00:14","Google Chrome"
"zestaw hario – Szukaj w Google - Google Chrome","2023-01-06T18:03:53.0000000","2023-01-06T18:03:59.0000000","0:00:06","Google Chrome"
"Hario zestaw V60 Dripper & Pot White - drip + serwer + filtry - Coffeedesk - Google Chrome","2023-01-06T18:03:59.0000000","2023-01-06T18:04:11.0000000","0:00:12","Google Chrome"
"ELDEN RING™","2023-01-06T18:04:11.0000000","2023-01-06T18:36:32.0000000","0:32:21","ELDEN RING™"
"Nowa karta - Google Chrome","2023-01-06T18:36:32.0000000","2023-01-06T18:36:39.0000000","0:00:07","Google Chrome"
"Subskrypcje - YouTube - Google Chrome","2023-01-06T18:36:39.0000000","2023-01-06T18:36:53.0000000","0:00:14","Google Chrome"
"Elden Ring Claw Talisman Location (Boost Jump Attacks) - YouTube - Google Chrome","2023-01-06T18:36:53.0000000","2023-01-06T18:37:21.0000000","0:00:28","Google Chrome"
"ELDEN RING™","2023-01-06T18:37:21.0000000","2023-01-06T18:38:44.0000000","0:01:23","ELDEN RING™"
"Elden Ring Claw Talisman Location (Boost Jump Attacks) - YouTube - Google Chrome","2023-01-06T18:38:44.0000000","2023-01-06T18:39:31.0000000","0:00:47","Google Chrome"
"ELDEN RING™","2023-01-06T18:39:31.0000000","2023-01-06T18:48:04.0000000","0:08:33","ELDEN RING™"
"Elden Ring Claw Talisman Location (Boost Jump Attacks) - YouTube - Google Chrome","2023-01-06T18:48:04.0000000","2023-01-06T18:48:21.0000000","0:00:17","Google Chrome"
"ancient dragon smithing stone - YouTube - Google Chrome","2023-01-06T18:48:21.0000000","2023-01-06T18:48:32.0000000","0:00:11","Google Chrome"
"Elden Ring - All Ancient Dragon Smithing Stones Locations (13 Stones) - YouTube - Google Chrome","2023-01-06T18:48:32.0000000","2023-01-06T18:49:10.0000000","0:00:38","Google Chrome"
"ELDEN RING™","2023-01-06T18:49:10.0000000","2023-01-06T18:49:43.0000000","0:00:33","ELDEN RING™"
"Elden Ring - All Ancient Dragon Smithing Stones Locations (13 Stones) - YouTube - Google Chrome","2023-01-06T18:49:43.0000000","2023-01-06T18:51:36.0000000","0:01:53","Google Chrome"
"ELDEN RING™","2023-01-06T18:51:36.0000000","2023-01-06T18:57:13.0000000","0:05:37","ELDEN RING™"
"Elden Ring - All Ancient Dragon Smithing Stones Locations (13 Stones) - YouTube - Google Chrome","2023-01-06T18:57:13.0000000","2023-01-06T18:58:13.0000000","0:01:00","Google Chrome"
"ELDEN RING™","2023-01-06T18:58:13.0000000","2023-01-06T19:01:16.0000000","0:03:03","ELDEN RING™"
"Elden Ring - All Ancient Dragon Smithing Stones Locations (13 Stones) - YouTube - Google Chrome","2023-01-06T19:01:16.0000000","2023-01-06T19:02:30.0000000","0:01:14","Google Chrome"
"ELDEN RING™","2023-01-06T19:02:30.0000000","2023-01-06T19:03:22.0000000","0:00:52","ELDEN RING™"
"Elden Ring - All Ancient Dragon Smithing Stones Locations (13 Stones) - YouTube - Google Chrome","2023-01-06T19:03:22.0000000","2023-01-06T19:04:14.0000000","0:00:52","Google Chrome"
"ELDEN RING™","2023-01-06T19:04:14.0000000","2023-01-06T19:09:16.0000000","0:05:02","ELDEN RING™"
